产品中文名字,产品英文名字,SKU ,Picture,MOQ,Size,QTY,单价,运费,计算运费,重量,计费重量,Item cost,Ship to FR(6-11 working days ),Ship to BE (6-10 working days ),Ship to CH (8-10 working days ),Ship to LU(8-12 working days ),Ship to IT (8-12 working days ),Total to FR,Total to BE,Total to CH,Total to LU,Total to IT,link,采购连接,备注
瑜伽裤,yoga clothes ,YOG-001,"=DISPIMG(""ID_807ECB23B26C40F6A9D6CC5A7776D5FE"",1)",50,S-3XL,1,15,0,0,250,270,2.47872428323556,5.64658349169627,6.61493844501363,8.12696025778733,8.14679005205321,6.42820788234322,8.12530777493184,9.09366272824919,10.6056845410229,10.6255143352888,8.90693216557878,,,
,,YOG-001,,,,2,30,0,0,500,520,4.95744856647112,7.70888209534826,9.34153515657275,11.3377344460051,10.154556721474,8.20462695199537,12.6663306618194,14.2989837230439,16.2951830124762,15.1120052879451,13.1620755184665,,,
,,YOG-001,,,,3,45,0,0,750,770,7.43617284970669,9.65054945054945,12.0681318681319,15.2623812277948,12.7159051474841,10.1462943071966,17.0867223002561,19.5043047178386,22.6985540775014,20.1520779971908,17.5824671569032,,,
,,YOG-001,,,,4,60,0,0,1000,1020,9.91489713294225,11.5922168057506,14.794728579691,19.1870280095844,15.2772535734942,12.0879616623978,21.5071139386929,24.7096257126332,29.1019251425266,25.1921507064364,22.00285879534,,,
,,YOG-001,,,,5,75,0,0,1250,1270,12.3936214161778,13.5338841609518,17.5213252912501,23.111674791374,17.8386019995043,14.0296290175989,25.9275055771296,29.9149467074279,35.5052962075519,30.2322234156821,26.4232504337768,,,
,,YOG-001,,,,6,90,0,0,1500,1620,14.8723456994134,16.2522184582335,21.3385606874329,28.6061802858795,21.4244897959184,16.7479633148806,31.1245641576469,36.2109063868462,43.4785259852929,36.2968354953317,31.620309014294,,,
,,YOG-001,,,,7,105,0,0,1750,1880,17.3510699826489,18.2715525076427,24.1742212674544,32.6878129389408,24.0882921589689,18.7672973642898,35.6226224902917,41.5252912501033,50.0388829215897,41.4393621416178,36.1183673469388,,,
,,YOG-002,,50,4-5XL,1,16.1,0,0,320,350,2.6604973973395,6.51182612401449,7.51757937353505,9.98934583422118,8.47219262731728,7.06584274451311,9.17232352135399,10.1780767708746,12.6498432315607,11.1326900246568,9.72634014185261,,,
,,YOG-002,,,,2,32.2,0,0,640,685,5.32099479467901,9.53505220541232,11.2865970594502,14.7453654378862,12.0127849989346,9.57937353505221,14.8560470000913,16.6075918541293,20.0663602325652,17.3337797936136,14.9003683297312,,,
瑜伽短裤,Yoga shorts,ART-001,"=DISPIMG(""ID_FC0AA0C8559E4F88BF8DED5A10B74BE8"",1)",10,S-2XL,1,13,0,0,250,275,2.21606648199446,5.65949286170893,6.67376944385255,8.27189431067548,8.25484764542936,6.46494779458768,7.87555934370339,8.88983592584701,10.4879607926699,10.4709141274238,8.68101427658214,,,
,,ART-001,,,,2,26,0,0,500,535,4.43213296398892,7.86618367781803,9.59897720008524,11.7323673556361,10.4274451310462,8.37758363520136,12.2983166418069,14.0311101640742,16.164500319625,14.8595780950352,12.8097165991903,,,
,,ART-001,,,,3,39,0,0,750,800,6.64819944598338,9.98934583422118,12.5804389516301,16.0238653313446,13.2282122309823,10.5007457916045,16.6375452802046,19.2286383976135,22.6720647773279,19.8764116769657,17.1489452375879,,,
,,ART-001,,,,4,52,,,1000,1065,8.86426592797784,12.1125079906243,15.5619007031749,20.3153633070531,16.0289793309184,12.6239079480077,20.9767739186022,24.4261666311528,29.1796292350309,24.8932452588962,21.4881738759855,,,
连体塑身衣女,Women's bodysuit,ART-002,"=DISPIMG(""ID_EE4095801ACF43C8B7EFA7F43CC61D27"",1)",10,S-2XL,1,35,3.5,0.35,110,130,6.02599616450032,4.47304496057959,5.49414020882165,6.4981887918176,6.59876411676966,5.3032175580652,10.4990411250799,11.520136373322,12.5241849563179,12.62476028127,11.3292137225655,,,
,,ART-002,,,,2,70,,0.7,220,255,12.0519923290006,5.49584487534626,6.44875346260388,7.89345834221181,8.02642233113147,6.30470914127424,17.5478372043469,18.5007457916045,19.9454506712124,20.0784146601321,18.3567014702748,,,
,,ART-002,,,,3,105,,1.05,330,380,18.077988493501,6.51864479011294,7.85510334540805,10.2586831451097,8.78926060089495,7.30620072448327,24.5966332836139,25.9330918389091,28.3366716386107,26.867249094396,25.3841892179843,,,
,,ART-002,,,,4,140,,1.4,440,505,24.1039846580013,7.62582569784786,9.26145322821223,11.2465373961219,10.1103771574686,8.1372256552312,31.7298103558492,33.3654378862135,35.3505220541232,34.2143618154699,32.2412103132325,,,
瑜伽手臂防晒护套,Yoga Arm Sunscreen Cover,ART-003,,10,,1,2.52,2,0.2,25,35,0.463669294694226,3.69571702535691,4.34434263797145,4.4900916258257,5.51374387385468,4.54208395482634,4.15938632005114,4.80801193266567,4.95376092051992,5.97741316854891,5.00575324952056,,,
,,ART-003,,,,2,5.04,4,0.4,50,65,0.927338589388451,3.94118900490092,4.70743660771362,5.12422757298104,5.85638184530151,4.78244193479651,4.86852759428937,5.63477519710207,6.05156616236949,6.78372043468996,5.70978052418496,,,
,,ART-003,,,,3,7.56,,,75,95,1.28872789260601,4.18666098444492,5.07053057745578,5.75836352013637,6.19901981674835,5.02279991476667,5.47538887705093,6.35925847006179,7.04709141274238,7.48774770935436,6.31152780737268,,,
,,ART-003,,,,4,10.08,,,100,120,1.71830385680801,4.39122096739825,5.37310888557426,6.28681014276582,6.48455145962071,5.22309823140848,6.10952482420626,7.09141274238227,8.00511399957383,8.20285531642872,6.94140208821649,,,
身体护理贴片 ,Body care patches,ART-004,,10,1 pack of 30 patches,1,2.5,6,0.6,8,18,0.528446622629448,3.55661623694865,4.13858938845088,4.14608992115917,5.31958235670147,4.40588109950991,4.0850628595781,4.66703601108033,4.67453654378862,5.84802897933092,4.93432772213936,,,
,,ART-004,,,,2,5,,1.2,16,31,1.0568932452589,3.66298742808438,4.29593010867249,4.43196249733646,5.4680588109951,4.51003622416365,4.71988067334328,5.35282335393139,5.48885574259536,6.524952056254,5.56692946942255,,,
,,ART-004,,,,3,7.5,,1.8,24,39,1.58533986788834,3.72844662262945,4.3927551672704,4.60788408267633,5.55942893671426,4.57413168548903,5.31378649051779,5.97809503515874,6.19322395056467,7.1447688046026,6.15947155337737,,,
,Legging with package ,YOG-002,,10000,,1,15,0,0,0,,2.55699978691668,,,,,,,,,,,,,
